"date","source","date_start","date_end","region","sub_region_1","cases","cases_weekly","cumulative_cases_since_2023-08-27","cumulative_cases_since_2023-08-27_weekly_diff","deaths","deaths_weekly","cumulative_deaths_since_2023-08-27","cumulative_deaths_since_2023-08-27_weekly_diff","new_hospitalizations","new_hospitalizations_weekly","cumulative_new_hospitalizations_since_2023-08-27","cumulative_new_hospitalizations_since_2023-08-27_weekly_diff","new_icu","new_icu_weekly","cumulative_new_icu_since_2023-08-27","cumulative_new_icu_since_2023-08-27_weekly_diff","percent_positivity_weekly","cumulative_percent_positivity_since_2023-08-27","notes"
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB","Zone 1",58,58,592,58,,,,,,,,,,,,,15,14,
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB","Zone 2",24,23,450,24,,,,,,,,,,,,,12,18,
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB","Zone 3",31,31,349,31,,,,,,,,,,,,,12,10,
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB","Zone 4",6,6,115,6,,,,,,,,,,,,,13,14,
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB","Zone 5",13,13,66,13,,,,,,,,,,,,,25,18,
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB","Zone 6",23,23,172,23,,,,,,,,,,,,,13,15,
"2023-12-19","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-49.pdf","2023-12-03","2023-12-09","NB","Zone 7",13,13,152,13,,,,,,,,,,,,,11,15,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB",,518,516,2414,518,17,17,54,17,176,174,1066,176,10,11,64,10,11,13,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB","Zone 1",125,124,717,125,,,,,,,,,,,,,9,13,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB","Zone 2",83,83,533,83,,,,,,,,,,,,,12,17,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB","Zone 3",136,134,485,136,,,,,,,,,,,,,11,10,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB","Zone 4",47,47,162,47,,,,,,,,,,,,,16,15,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB","Zone 5",37,37,103,37,,,,,,,,,,,,,19,18,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB","Zone 6",59,59,231,59,,,,,,,,,,,,,10,13,
"2024-01-09","https://www2.gnb.ca/content/dam/gnb/Corporate/Promo/respiratory-respiratoire/Respiratory-Report-2023-24_Week-50-52.pdf","2023-12-10","2023-12-30","NB","Zone 7",31,32,183,31,,,,,,,,,,,,,13,14,
